epoch,step,test_loss,train_loss_epoch,val_loss
0,105,,,0.7166360020637512
0,105,,0.9093022346496582,
1,211,,,0.4977733790874481
1,211,,0.5950544476509094,
2,317,,,0.39286667108535767
2,317,,0.4404083490371704,
3,423,,,0.3318769335746765
3,423,,0.35933980345726013,
4,529,,,0.2906104326248169
4,529,,0.31063103675842285,
5,635,,,0.26243042945861816
5,635,,0.279631108045578,
6,741,,,0.24383483827114105
6,741,,0.25340014696121216,
7,847,,,0.22958408296108246
7,847,,0.24013955891132355,
8,953,,,0.21834105253219604
8,953,,0.22506825625896454,
9,1059,,,0.20613040030002594
9,1059,,0.21614424884319305,
10,1165,,,0.20346228778362274
10,1165,,0.20729586482048035,
11,1271,,,0.20032420754432678
11,1271,,0.2035277634859085,
12,1377,,,0.19543731212615967
12,1377,,0.19747991859912872,
13,1483,,,0.1911354959011078
13,1483,,0.19344328343868256,
14,1589,,,0.18700876832008362
14,1589,,0.1914367973804474,
15,1695,,,0.18643027544021606
15,1695,,0.18764859437942505,
16,1801,,,0.18441084027290344
16,1801,,0.1853659600019455,
17,1907,,,0.18132025003433228
17,1907,,0.18480156362056732,
18,2013,,,0.1789420247077942
18,2013,,0.1803872287273407,
19,2119,,,0.1814020723104477
19,2119,,0.1771930307149887,
20,2225,,,0.17335885763168335
20,2225,,0.1776115596294403,
21,2331,,,0.1793161779642105
21,2331,,0.176614910364151,
22,2437,,,0.1757531315088272
22,2437,,0.17644180357456207,
23,2543,,,0.17408445477485657
23,2543,,0.17328020930290222,
24,2649,,,0.1758567988872528
24,2649,,0.17212823033332825,
25,2755,,,0.17083926498889923
25,2755,,0.17256733775138855,
26,2861,,,0.17402911186218262
26,2861,,0.17232564091682434,
27,2967,,,0.17017997801303864
27,2967,,0.17024388909339905,
28,3073,,,0.16791540384292603
28,3073,,0.17136472463607788,
29,3179,,,0.1688636690378189
29,3179,,0.16868750751018524,
30,3285,,,0.16955776512622833
30,3285,,0.1691552698612213,
31,3391,,,0.16975535452365875
31,3391,,0.16968925297260284,
32,3497,,,0.16644896566867828
32,3497,,0.1663389503955841,
33,3603,,,0.1658174693584442
33,3603,,0.1658233404159546,
34,3709,,,0.16514848172664642
34,3709,,0.16580961644649506,
35,3815,,,0.1642879843711853
35,3815,,0.1647772192955017,
36,3921,,,0.16095398366451263
36,3921,,0.16549719870090485,
37,4027,,,0.1624870002269745
37,4027,,0.16717679798603058,
38,4133,,,0.1630522608757019
38,4133,,0.16593332588672638,
39,4239,,,0.163923442363739
39,4239,,0.16450311243534088,
40,4345,,,0.1654268056154251
40,4345,,0.1660950481891632,
41,4451,,,0.16376890242099762
41,4451,,0.16474084556102753,
42,4557,,,0.16444885730743408
42,4557,,0.16470234096050262,
43,4663,,,0.16115644574165344
43,4663,,0.16446787118911743,
44,4769,,,0.1597273051738739
44,4769,,0.16618366539478302,
45,4875,,,0.16082385182380676
45,4875,,0.16442541778087616,
46,4981,,,0.16824980080127716
46,4981,,0.1646423488855362,
47,5087,,,0.16737748682498932
47,5087,,0.16261279582977295,
48,5193,,,0.1644204705953598
48,5193,,0.16335739195346832,
49,5299,,,0.16225597262382507
49,5299,,0.16278283298015594,
50,5405,,,0.16474997997283936
50,5405,,0.16373009979724884,
51,5511,,,0.16678446531295776
51,5511,,0.1636580526828766,
52,5617,,,0.16662637889385223
52,5617,,0.16134123504161835,
53,5723,,,0.16068825125694275
53,5723,,0.1615910828113556,
54,5829,,,0.16148656606674194
54,5829,,0.16321203112602234,
55,5935,,,0.15785376727581024
55,5935,,0.16293306648731232,
56,6041,,,0.1612313687801361
56,6041,,0.1613665521144867,
57,6147,,,0.16085313260555267
57,6147,,0.1646067202091217,
58,6253,,,0.15806010365486145
58,6253,,0.15825656056404114,
59,6359,,,0.15588629245758057
59,6359,,0.1613706350326538,
60,6465,,,0.15745548903942108
60,6465,,0.16205468773841858,
61,6571,,,0.16010624170303345
61,6571,,0.16294895112514496,
62,6677,,,0.1638353317975998
62,6677,,0.16307225823402405,
63,6783,,,0.1596422791481018
63,6783,,0.16110850870609283,
64,6889,,,0.16173666715621948
64,6889,,0.16073492169380188,
65,6995,,,0.1598840355873108
65,6995,,0.16096064448356628,
66,7101,,,0.16178196668624878
66,7101,,0.16403628885746002,
67,7207,,,0.16174517571926117
67,7207,,0.16336588561534882,
68,7313,,,0.15736685693264008
68,7313,,0.16139723360538483,
69,7419,,,0.16018466651439667
69,7419,,0.16175779700279236,
70,7525,,,0.15715254843235016
70,7525,,0.1644335836172104,
71,7631,,,0.16402973234653473
71,7631,,0.16209231317043304,
72,7737,,,0.16108481585979462
72,7737,,0.16109731793403625,
73,7843,,,0.16539186239242554
73,7843,,0.16119642555713654,
74,7949,,,0.16114585101604462
74,7949,,0.16309067606925964,
75,8055,,,0.16344217956066132
75,8055,,0.1637781858444214,
76,8161,,,0.15964454412460327
76,8161,,0.16041849553585052,
77,8267,,,0.16054117679595947
77,8267,,0.16251088678836823,
78,8373,,,0.16095896065235138
