epoch,step,test_loss,train_loss_epoch,val_loss
0,105,,,0.7178120017051697
0,105,,0.9116026759147644,
1,211,,,0.49721193313598633
1,211,,0.595849871635437,
2,317,,,0.39421284198760986
2,317,,0.439972460269928,
3,423,,,0.33264803886413574
3,423,,0.35894179344177246,
4,529,,,0.2901802659034729
4,529,,0.30961084365844727,
5,635,,,0.25890517234802246
5,635,,0.2769232988357544,
6,741,,,0.24034282565116882
6,741,,0.249916672706604,
7,847,,,0.22465793788433075
7,847,,0.23636160790920258,
8,953,,,0.21433798968791962
8,953,,0.2201736569404602,
9,1059,,,0.20157858729362488
9,1059,,0.21160061657428741,
10,1165,,,0.1970488727092743
10,1165,,0.20157180726528168,
11,1271,,,0.19549374282360077
11,1271,,0.19744575023651123,
12,1377,,,0.18971411883831024
12,1377,,0.1906713992357254,
13,1483,,,0.18467265367507935
13,1483,,0.1864970177412033,
14,1589,,,0.18120494484901428
14,1589,,0.18432068824768066,
15,1695,,,0.18066944181919098
15,1695,,0.18050310015678406,
16,1801,,,0.1781882494688034
16,1801,,0.17804047465324402,
17,1907,,,0.17385786771774292
17,1907,,0.17811182141304016,
18,2013,,,0.173031747341156
18,2013,,0.17328207194805145,
19,2119,,,0.17591111361980438
19,2119,,0.17054782807826996,
20,2225,,,0.16836561262607574
20,2225,,0.17071533203125,
21,2331,,,0.17353621125221252
21,2331,,0.17043103277683258,
22,2437,,,0.16990678012371063
22,2437,,0.17002134025096893,
23,2543,,,0.16961242258548737
23,2543,,0.16687747836112976,
24,2649,,,0.1705358922481537
24,2649,,0.16563431918621063,
25,2755,,,0.16651035845279694
25,2755,,0.16632209718227386,
26,2861,,,0.16941872239112854
26,2861,,0.16612501442432404,
27,2967,,,0.16529837250709534
27,2967,,0.1639997661113739,
28,3073,,,0.16280192136764526
28,3073,,0.16517741978168488,
29,3179,,,0.16309817135334015
29,3179,,0.16237491369247437,
30,3285,,,0.1648855358362198
30,3285,,0.16278813779354095,
31,3391,,,0.16454894840717316
31,3391,,0.16313837468624115,
32,3497,,,0.16178449988365173
32,3497,,0.1599370688199997,
33,3603,,,0.16055643558502197
33,3603,,0.15944793820381165,
34,3709,,,0.16080938279628754
34,3709,,0.15944047272205353,
35,3815,,,0.15907607972621918
35,3815,,0.15806517004966736,
36,3921,,,0.15589037537574768
36,3921,,0.1589892953634262,
37,4027,,,0.15772241353988647
37,4027,,0.1606505662202835,
38,4133,,,0.15777714550495148
38,4133,,0.15925605595111847,
39,4239,,,0.15914039313793182
39,4239,,0.15781830251216888,
40,4345,,,0.1605672687292099
40,4345,,0.15930138528347015,
41,4451,,,0.15747445821762085
41,4451,,0.1579618752002716,
42,4557,,,0.159475639462471
42,4557,,0.15776407718658447,
43,4663,,,0.15559107065200806
43,4663,,0.1573217511177063,
44,4769,,,0.15436379611492157
44,4769,,0.15896880626678467,
45,4875,,,0.15523259341716766
45,4875,,0.15709024667739868,
46,4981,,,0.16334740817546844
46,4981,,0.1578604131937027,
47,5087,,,0.16166335344314575
47,5087,,0.1554516702890396,
48,5193,,,0.15801309049129486
48,5193,,0.15570543706417084,
49,5299,,,0.1562669426202774
49,5299,,0.15533913671970367,
50,5405,,,0.15845106542110443
50,5405,,0.15646137297153473,
51,5511,,,0.16169816255569458
51,5511,,0.15644796192646027,
52,5617,,,0.16090017557144165
52,5617,,0.15369026362895966,
53,5723,,,0.15549767017364502
53,5723,,0.1541043370962143,
54,5829,,,0.15532633662223816
54,5829,,0.1555974781513214,
55,5935,,,0.15192344784736633
55,5935,,0.15549929440021515,
56,6041,,,0.15540654957294464
56,6041,,0.15403155982494354,
57,6147,,,0.15509945154190063
57,6147,,0.15745283663272858,
58,6253,,,0.1531357765197754
58,6253,,0.15113307535648346,
59,6359,,,0.15116792917251587
59,6359,,0.1542401909828186,
60,6465,,,0.15185795724391937
60,6465,,0.15507221221923828,
61,6571,,,0.15472973883152008
61,6571,,0.1557520180940628,
62,6677,,,0.15795670449733734
62,6677,,0.15573957562446594,
63,6783,,,0.1543419361114502
63,6783,,0.1537656933069229,
64,6889,,,0.15683117508888245
64,6889,,0.15339496731758118,
65,6995,,,0.15377534925937653
65,6995,,0.15385645627975464,
66,7101,,,0.1562722623348236
66,7101,,0.1571008712053299,
67,7207,,,0.15555843710899353
67,7207,,0.15612195432186127,
68,7313,,,0.15222233533859253
68,7313,,0.1540011167526245,
69,7419,,,0.15466277301311493
69,7419,,0.1541931927204132,
70,7525,,,0.151841938495636
70,7525,,0.1573391705751419,
71,7631,,,0.15731197595596313
71,7631,,0.15527108311653137,
72,7737,,,0.1560094952583313
72,7737,,0.15357838571071625,
73,7843,,,0.15868696570396423
73,7843,,0.15355829894542694,
74,7949,,,0.15526948869228363
74,7949,,0.15586382150650024,
75,8055,,,0.15796183049678802
75,8055,,0.15615998208522797,
76,8161,,,0.15359452366828918
76,8161,,0.15304209291934967,
77,8267,,,0.1551034152507782
77,8267,,0.15544646978378296,
78,8373,,,0.1550540328025818
78,8373,,0.15252792835235596,
